Entity,Year,Annual_CO2_emissions_per_capita,Continent,Population
Qatar,2015,37.768173,Asia,2414573.0
United Arab Emirates,2015,25.309628,Asia,8916899.0
Kuwait,2015,23.96182,Asia,3908743.0
Bahrain,2015,23.829597,Asia,1362142.0
Saudi Arabia,2015,20.728325,Asia,32749848.0
Others,2015,4.082314526589022,Asia,4408264205.0
Total Emissions,2015,4.288787108233083,Asia,4457616410.0
Luxembourg,2015,16.42211,Europe,569408.0
Faroe Islands,2015,12.45136,Europe,48816.0
Estonia,2015,12.036589,Europe,1314657.0
Russia,2015,11.327114,Europe,144668389.0
Iceland,2015,10.703882,Europe,331060.0
Others,2015,6.568112151759381,Europe,582543003.0
Total Emissions,2015,7.531727506523624,Europe,729475333.0
Libya,2015,8.8095255,Africa,6192235.0
South Africa,2015,7.9858437,Africa,55876504.0
Equatorial Guinea,2015,5.2216945,Africa,1346973.0
Seychelles,2015,5.0201893,Africa,99240.0
Algeria,2015,4.0484247,Africa,39543154.0
Others,2015,0.6399197551677205,Africa,989062441.0
Total Emissions,2015,1.1915456079525715,Africa,1092120547.0
Trinidad and Tobago,2015,31.201414,North America,1460177.0
Sint Maarten (Dutch part),2015,18.48941,North America,
United States,2015,16.562983,North America,324607776.0
Canada,2015,15.971075,North America,35732126.0
Saint Pierre and Miquelon,2015,10.990169,North America,5978.0
Others,2015,2.9840302813101562,North America,203775443.0
Total Emissions,2015,11.670910237748599,North America,565581500.0
Curacao,2015,43.210606,South America,169572.0
Aruba,2015,8.60927,South America,104257.0
Venezuela,2015,5.4325128,South America,30529716.0
Suriname,2015,4.7149568,South America,575475.0
Chile,2015,4.5764747,South America,17870124.0
Others,2015,2.5915297907619603,South America,363898647.0
Total Emissions,2015,2.9084692677158723,South America,413147791.0
New Caledonia,2015,17.230398,Oceania,283032.0
Australia,2015,16.850307,Oceania,23820236.0
Palau,2015,11.512961,Oceania,17794.0
New Zealand,2015,7.8012037,Oceania,4590590.0
Nauru,2015,4.904078,Oceania,11185.0
Others,2015,0.8758866780502094,Oceania,11298670.0
Total Emissions,2015,11.29950552300593,Oceania,40021507.0
